"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CCNB2",-1.74145259849387,1.18655085756814e-16,-4.0916496055762,4.28420791660499e-05,0.0100814154070446,1.86160436164303
"DIXDC1",1.73780436882087,2.35922392732846e-16,4.08307786637671,4.44539630738827e-05,0.0100814154070446,1.82897541505238
"ALDH1A1",1.73640319238501,-2.48412401759879e-16,4.07978571646917,4.50881953718721e-05,0.0100814154070446,1.81646179506531
"CWH43",1.73609256408482,-6.38378239159465e-17,4.07905587624093,4.52299564972702e-05,0.0100814154070446,1.8136890041664
"AGR2",1.73331787805257,-2.09207651202803e-16,4.07253658136073,4.65151253892777e-05,0.0100814154070446,1.78894306703266
"CFI",1.73317402107399,2.44249065417534e-16,4.07219858057325,4.65826919017839e-05,0.0100814154070446,1.78766116303981
"CYB5D1",1.73014677261422,1.49880108324396e-16,4.06508587479123,4.80262962787698e-05,0.0100814154070446,1.76071014570671
"COL21A1",1.72933474820978,-1.47451495458029e-16,4.06317797368785,4.84206816880061e-05,0.0100814154070446,1.75348886091718
"CENPU",-1.7279264168375,6.43929354282591e-16,-4.05986901281871,4.91119727106042e-05,0.0100814154070446,1.74097269194231
"TACC1",1.72659890114506,-2.5951463200613e-16,4.05674993334214,4.97721522533344e-05,0.0100814154070446,1.72918408684778
"ACSL5",1.72613025511731,1.07414077632484e-15,4.05564882077884,5.00072144849761e-05,0.0100814154070446,1.72502458014464
"TPX2",-1.72591590791552,4.9960036108132e-17,-4.05514519889191,5.01150765410584e-05,0.0100814154070446,1.72312250010039
"DLGAP5",-1.72540604195907,-4.87544032923282e-16,-4.05394723757995,5.03725339753531e-05,0.0100814154070446,1.71859898687057
"SIDT1",1.72484078751243,-3.10862446895044e-16,4.0526191376158,5.06594250752368e-05,0.0100814154070446,1.71358563105661
"TROAP",-1.72454720194453,2.48412401759879e-16,-4.05192934033153,5.080904285127e-05,0.0100814154070446,1.71098240953764
"ORC6",-1.72432434878137,1.66533453693773e-17,-4.05140573316708,5.09228933219611e-05,0.0100814154070446,1.70900666768952
"CXCL2",1.72402365999927,-1.75900960464048e-16,4.05069924644574,5.10768914454387e-05,0.0100814154070446,1.70634126586515
"REEP1",1.72325099692994,1.1145598333151e-15,4.04888382721147,5.14746386551736e-05,0.0100814154070446,1.69949426445022
"EFCAB1",1.72252485963073,-4.92661467177413e-16,4.04717772312544,5.18511097462807e-05,0.0100814154070446,1.69306235168778
"ICA1",1.72238170956858,-1.47104550762833e-16,4.04684138328142,5.19256341796128e-05,0.0100814154070446,1.69179469000073
"RUSC1",-1.7221801023546,-3.67761376907083e-16,-4.04636769477662,5.20307637817995e-05,0.0100814154070446,1.69000954118283
"HAND2-AS1",1.7203929469039,-2.08166817117217e-18,4.04216866351887,5.29715494593711e-05,0.0100814154070446,1.67419415246819
"NXF3",1.72032363585761,-5.94663207564849e-16,4.04200581296788,5.30083585700347e-05,0.0100814154070446,1.67358111681741
"CCDC198",1.72019983112713,6.15132944581376e-16,4.04171492616621,5.30741680338995e-05,0.0100814154070446,1.67248616214915
"PLXNA1",-1.72000879819261,1.04916075827077e-15,-4.04126608257903,5.31758651360476e-05,0.0100814154070446,1.67079678193274
"ACKR4",1.71905107789973,1.27523859527745e-16,4.03901586005676,5.36885004915409e-05,0.0100814154070446,1.66233010861738
"ARHGAP11B",-1.71873958623736,-5.63438184997267e-16,-4.03828399130616,5.38562381719879e-05,0.0100814154070446,1.65957740007617
"LOC100288637",-1.71873958623736,-5.63438184997267e-16,-4.03828399130616,5.38562381719879e-05,0.0100814154070446,1.65957740007617
"ANKFN1",1.71756378858046,-3.49720252756924e-16,4.0355213826522,5.44938884354917e-05,0.0100814154070446,1.6491911574152
"MEGF11",1.71596179939845,-2.07125983031631e-16,4.0317574108907,5.53741869370306e-05,0.0100814154070446,1.63505165119251
