GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044
AJUBA	1.67202724647555	0.301506284302227	1.6622497585597	1.11336800484565	-0.285954191922702	0.355741909268675	0.376495740079794	0.783338304437638	1.27646971222324	0.384040629800474	-0.249407061981711	-0.119090807843269	-0.403808097293208	-2.28328966024367	-1.00411139721966	-0.665682533183487	-1.07791635556248	-0.957858567086125	-0.41637812764612	-0.461740790010513
AK7	-1.21229025099222	0.377290781455146	-1.24139908264976	-1.10896716660495	-0.880480721045747	-0.348370586102643	-0.694198043303932	-0.888141547133977	-0.568907770856439	-1.0652058513148	0.729654169347674	1.22653488793474	1.05436820525158	-0.762753206882643	0.991299069993585	1.34948307047875	1.61557563446354	1.24603884351027	0.463371238449552	-0.282901673997729
AKR1C3	0.186445290871283	-1.35261760944139	-1.15657739975058	-1.71424250310508	-0.287107599718575	-1.33344500892071	-0.815843893553813	-0.1035913877478	-0.892470272054022	-0.141173230689833	0.826099978985183	0.423302996867109	1.34491261752908	-0.674287752591571	1.31787496613978	1.34897565257392	1.34348439914968	0.726036044389949	0.340855397248111	0.613369313819264
ALDH1A1	-0.479857685131699	-1.1052939993017	-1.2465843164835	-0.882236174193983	-1.2633314694868	-1.40861485996152	-0.346525234979832	-0.813477261981535	0.273809447306018	-1.4099044077105	0.211147607345361	1.40309695301453	1.39608362315162	0.579353081059482	0.527708956077014	0.875592740922227	1.07844199538463	0.811618729567863	0.962348762508699	0.83662351289362
ALDH1A2	-0.206957595955733	-1.73463546370388	-0.690671021314479	-1.32937047355403	-0.444842038782392	-0.295967595714199	-0.582656436378323	-1.20088701572977	-1.70151763740242	-0.335036038030305	1.01765425581396	1.10605673194789	1.193628406544	-0.145379624474247	0.80396171526677	0.86260072630821	0.739512285970185	0.890661048248167	0.820951606715242	1.23289416422534
ALDH1A3	-1.52834425807808	-0.694382897936269	-0.0213453579361187	-0.222506562179684	-0.705209445895514	0.0379563513133367	-0.62768347618576	-2.26328942227591	-0.99508319553119	-0.792970489447976	0.426846296892994	1.53334864342931	0.578195094017653	0.494702950610643	0.246283821664526	1.62449566199674	1.1459931017172	0.129223379121802	0.919775682362886	0.713994122339406
ALG3	2.33416868487236	1.22300544347127	0.421957027541658	0.944508428046567	1.00233653499873	-0.165091073546844	1.08903834085129	0.572580481274346	0.749141838526574	0.384205321991242	-0.664700897776593	-0.627958056618223	-0.608577771646991	-0.747548841651531	-1.10182166156292	-0.881949755960094	-1.22821219259863	-1.06996172406206	-0.820449382620881	-0.804670743529258
ANKFN1	-0.898198090767637	-0.968226915603384	-1.03839189814314	-1.30995843878456	-1.05147276327807	-0.355181716088227	-1.0930543535267	-0.810687589292454	-0.45201902028787	-0.610628157130281	0.379048702768063	0.868764199103982	0.55650595606512	1.67421482270608	0.585979236207434	1.42807087051277	1.48636581892822	1.10660253135288	0.901801893426186	-0.399535088168419
ANLN	0.82867262287299	1.62834296985479	0.818277961197734	1.34608278384984	1.17608745068887	0.982186066842286	0.215061706375862	0.426598084969738	1.47307480003999	-0.835354786009407	-1.12665598803736	0.143305953050893	-0.818250386934448	-0.936381037604811	-0.979413600006394	-0.955323720898867	-0.508190330034346	-0.952516159546065	-0.896623963448165	-1.02898042722313
ANXA13	-1.09272694228	-1.27752816842896	-0.530823396393339	-0.707800301602645	-1.00408874190617	-0.0870250841269433	-0.735145908119026	-0.471390170669873	-0.934431071275907	-0.890871109085528	0.530946522336887	1.04624107506625	1.58736711797918	-0.98744178156565	1.13935922953472	1.50782193492278	1.33709699907674	1.16570235792965	0.57272199027787	-0.167984551670043
