GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044	GSM1701045	GSM1701046	GSM1701047	GSM1701048	GSM1701049	GSM1701050	GSM1701051	GSM1701052	GSM1701053
BABAM2	7.12901	7.17991	6.86152	7.51696	6.72867	7.15696	7.47821	7.2303	7.93581	7.14291	7.16619	7.58741	7.50881	6.20344	6.66671	7.4845	7.06264	6.65481	6.61792	7.05964	7.08649	7.26252	6.81452	6.89013	7.17991	7.34894	7.46348	7.57311	7.36008
RALY	9.37726	8.50114	7.21137	7.60829	8.22686	6.60353	8.33661	8.11987	7.91319	7.49035	7.18484	7.21394	7.0178	4.82652	6.72195	6.40793	6.90394	7.06515	7.16884	7.36758	7.41311	7.55331	7.75992	7.63848	7.45313	7.46641	7.02494	7.33442	7.19
P2RY4	3.60402	3.59663	3.64702	3.5062	3.90132	3.48919	3.72228	3.61115	3.24798	3.91251	3.6437	3.17696	3.07545	4.76608	3.24945	3.22099	3.41401	3.25061	3.18751	3.32849	3.20749	2.97281	2.87423	2.79545	2.66189	2.89225	2.81505	2.79545	3.03097
FCGR2C	4.33155	3.38361	3.37715	3.96032	4.38124	3.79281	4.28499	4.15149	3.62774	4.22758	3.82955	3.36111	3.66502	4.64972	3.50783	3.36762	3.54362	4.02134	3.43935	4.08083	4.30016	3.91425	3.1769	3.79281	3.62972	3.52912	3.87458	3.40871	3.79281
TMEM69	10.3129	8.58159	9.99173	8.77958	9.36834	8.4168	8.54301	8.98518	9.20617	8.37868	7.98194	8.47912	8.1204	5.11163	8.17184	8.23083	8.54439	8.35851	8.48426	8.24102	8.91349	8.93443	7.58924	7.81298	8.73404	8.52885	8.81402	8.58704	8.7533
TNFSF12	4.47526	3.649	4.20217	4.34151	4.18598	4.21495	3.41157	4.41715	3.87745	4.73253	4.37307	3.61525	3.98059	6.4865	3.98733	3.45796	4.15124	4.4737	4.11991	4.21275	3.81308	3.71748	3.71366	3.71726	3.49774	3.32113	3.28049	3.25919	3.6421
LGI2	5.02779	4.22166	5.21936	5.43227	5.02138	4.59291	5.07701	4.86153	5.36223	5.16115	4.9258	5.19785	4.7854	7.0837	4.95719	4.8348	5.0411	4.55425	5.15761	5.23178	4.82512	4.5848	4.17284	4.3401	4.58325	4.72448	4.49172	4.6535	4.53167
MAMDC2-AS1	2.37124	2.79198	2.88369	2.20786	2.90627	3.39379	2.42551	2.63543	2.31503	3.03653	2.48772	3.2052	2.74921	2.99356	2.69942	3.25919	2.48772	2.43671	2.24697	2.52428	2.45822	2.0657	2.21919	2.1836	2.14418	2.36572	1.95293	2.04585	1.8429
STX8	7.8777	7.63563	7.23169	7.41632	7.16281	6.6088	7.38117	6.77706	7.31908	7.01609	7.26483	7.76245	7.96039	6.97347	7.2232	7.46809	7.09258	7.86384	7.41923	7.7162	7.78167	7.87637	8.41715	8.33718	7.39549	7.60798	7.88609	7.80448	7.63667
CACNA1C	2.5562	1.76916	2.14293	3.10502	2.6724	1.98333	2.87869	2.77345	2.05416	2.07012	2.22723	1.91992	1.88515	2.72617	1.78342	2.46336	2.54655	2.25403	2.1279	2.10365	1.89485	2.22686	1.89062	1.88677	1.91517	1.71043	1.94439	1.81419	1.81077
IGHG4	5.1745	4.23531	4.64034	4.72806	4.86452	5.08056	4.99748	4.53557	4.56242	4.7927	5.11398	4.29121	4.66238	6.45214	4.50087	4.23535	4.06772	4.97229	4.36092	4.7751	4.65989	4.57218	3.84947	4.01517	4.02119	3.88759	4.08531	4.14007	4.21998
SCAMP3	7.7078	8.84562	7.83767	7.90227	8.12545	7.03389	7.59098	6.89646	8.1948	7.61317	6.25442	7.77966	7.92826	6.71649	6.93151	7.5561	7.20695	7.06179	6.85367	7.52081	7.32766	7.36426	7.63626	7.58254	7.57644	7.66749	7.67359	7.86592	7.64333
MTSS1L	2.66693	2.45412	3.13988	2.46272	2.79917	2.95433	2.6651	2.7688	2.77921	2.93197	2.67171	2.92298	2.93197	3.80744	2.83976	2.86275	2.19708	2.61157	2.8668	2.68528	3.91921	3.39975	3.25799	2.95339	3.80951	3.64392	3.2844	3.16679	3.54234
DEPDC4	2.54021	2.08956	2.51702	2.22697	2.57214	2.8498	2.50388	2.31385	2.68286	2.46979	4.00574	2.51702	2.79723	2.59775	2.79718	2.86444	2.93267	2.85853	2.79819	3.24467	2.42037	2.19463	1.99273	2.18194	2.04127	2.18258	2.22453	1.96824	2.42689
MIR6716	7.52777	5.7849	6.25076	6.93098	6.56271	5.92087	6.44771	6.39903	6.12414	7.14624	6.15103	5.74114	5.45703	6.93932	6.18005	5.75073	5.67807	6.03833	6.25045	6.09497	5.71995	5.63068	5.27771	5.65979	5.6858	5.44124	5.40834	5.7135	5.23366
CYP4F2	3.35044	3.65874	3.45019	3.73338	5.16023	4.80814	3.93392	4.09694	3.3184	3.97485	3.6287	3.67721	3.40223	4.34466	3.45106	3.35375	3.47578	3.35706	3.61624	4.1986	4.44903	4.26623	3.16335	3.51002	3.57554	3.38086	3.4919	3.32611	3.63086
TLR4	3.28718	3.5039	4.42792	3.90651	3.29551	3.58335	3.31608	3.9893	3.67243	3.5039	3.87483	3.96507	3.5039	5.11333	3.31277	3.2004	3.19393	4.08587	3.25738	4.00905	3.49646	3.29625	3.30241	3.40195	2.98406	3.37538	3.7246	3.5039	3.40021
ACTR3C	4.4837	4.03808	3.43376	4.70055	4.92416	6.14004	4.74898	3.67737	4.6105	4.55985	4.17037	4.29703	4.86485	4.12139	3.70919	5.23634	5.17663	4.26887	4.22683	3.91402	3.27081	3.24245	3.9505	4.17037	4.05922	4.35547	4.46055	4.29058	4.09788
APLN	4.63062	4.02824	4.52021	4.42463	4.60774	4.48631	4.26705	3.9254	4.10198	4.55985	4.0993	3.66336	3.967	5.07268	4.25076	4.49676	3.82016	4.18971	3.9787	4.04253	4.23148	4.29358	3.34934	3.82583	3.63601	3.9895	3.72543	3.52958	3.85226
LOC101928047	2.32825	2.09922	2.7299	2.01257	2.87954	2.22638	2.46147	2.19376	1.96584	2.734	2.6801	2.55553	1.95285	2.53621	2.74151	2.29224	2.20873	2.34093	1.8429	1.86401	1.74022	1.72039	1.84424	1.72961	1.89271	1.88924	2.04829	1.81415	2.1502
PRICKLE3	4.30684	4.16489	3.81149	3.87708	3.25919	3.32503	4.37769	4.19426	3.70344	4.3069	4.23595	3.36216	3.49487	3.50694	3.62588	3.37057	3.61467	3.56193	3.82551	3.13589	4.31321	4.13412	3.87708	3.88831	3.87544	3.925	3.75685	3.85584	3.81546
RBMS2	5.64128	4.75425	4.82375	5.17617	4.85889	5.06909	5.35918	5.2608	5.29387	5.08169	5.65837	4.9174	4.80107	5.88868	6.12516	4.67668	4.33567	5.41777	5.4651	5.08792	6.7551	6.31088	6.02405	5.81821	5.47093	5.11335	5.3252	5.30966	5.16561
PCDHB6	4.23816	2.84828	3.0595	2.97414	3.66897	3.02316	3.3447	2.2298	2.64121	3.66736	2.53809	2.82439	3.26882	3.28339	3.58237	3.08765	3.21338	3.19994	3.02316	3.18322	2.97375	3.02316	2.54161	2.15647	2.39312	2.65696	2.66107	2.5398	2.31811
PTGER1	5.42418	5.60018	5.22273	5.19487	5.75116	5.04738	5.34242	5.1727	5.1921	5.95999	5.18491	4.79477	4.45518	6.84846	5.12809	4.83733	5.0724	4.78242	5.04738	5.38269	4.57995	5.14892	4.26242	4.74835	4.64661	4.50214	4.62562	4.53651	4.65081
EFCAB3	2.89536	3.81456	3.01152	2.73405	2.51406	2.36199	2.56216	2.69349	2.70218	2.90768	3.02586	1.95043	1.94964	2.50651	1.946	2.32985	2.65385	2.30224	2.1304	1.90478	1.95162	1.80852	2.13508	2.04168	2.39685	2.47682	2.33741	2.79119	2.13508
LOC102724660	2.89536	3.81456	3.01152	2.73405	2.51406	2.36199	2.56216	2.69349	2.70218	2.90768	3.02586	1.95043	1.94964	2.50651	1.946	2.32985	2.65385	2.30224	2.1304	1.90478	1.95162	1.80852	2.13508	2.04168	2.39685	2.47682	2.33741	2.79119	2.13508
CDH16	2.90245	3.0036	2.925	3.65573	3.78922	2.86802	3.07878	3.16713	2.58205	4.48967	3.34472	2.9062	3.57674	3.52477	2.79156	3.23463	3.6344	2.99546	3.35281	3.80357	3.24361	3.47797	2.50771	2.53179	2.94797	3.05765	3.11333	2.87344	3.11333
CPTP	7.10813	6.6772	6.72939	6.56252	6.70904	6.16494	6.89387	6.56341	5.53415	6.25059	5.88507	5.51583	5.88925	7.18812	6.43894	5.86818	6.09184	6.05454	6.13594	6.17114	6.54083	6.43971	6.25059	6.27131	5.8345	5.86821	6.19509	5.9908	6.10595
LOC100127938	2.91872	3.08228	2.51698	2.6455	3.44238	3.25268	2.85168	2.77057	2.65702	2.92443	2.50676	2.6455	2.30212	4.48304	3.09078	2.73435	2.68713	2.36477	2.93	3.00081	2.49551	2.63855	2.08991	2.13536	2.25364	2.21107	2.34423	2.21618	2.35292
LDHC	3.07856	3.33599	3.04183	2.95898	2.89199	3.60908	2.68123	3.86627	4.4218	3.85643	3.18247	2.91064	3.43721	3.89966	3.10754	3.70693	3.5128	2.61251	3.43042	3.79627	2.97722	2.95449	2.74165	2.84419	3.26751	3.3356	3.53047	3.03426	3.20463
GLB1L2	6.9903	6.66598	5.39138	4.6569	5.51261	5.98012	6.02061	5.49078	5.7869	6.08404	5.97634	5.65568	5.03562	5.69671	6.06694	6.40712	6.22036	6.19782	5.93457	5.34074	6.01404	5.80459	4.92158	5.20953	5.61609	5.58865	6.40302	6.35839	6.04675
TMEM221	3.63993	3.83678	3.93107	4.21133	4.58682	3.92587	6.05878	4.35033	3.99055	5.3291	4.35056	3.7396	4.09033	5.46292	4.41744	3.57648	3.85582	3.9505	3.93107	3.79627	3.86265	3.8771	3.34383	3.49078	3.48963	3.90911	3.52341	3.33937	3.60183
GPR1	2.01873	1.90682	1.71641	2.36524	2.15222	2.07905	2.04855	2.69869	2.43884	2.63326	1.95816	2.04239	2.25793	3.18919	2.72574	2.65031	2.47813	2.23503	2.68038	2.26194	1.60313	1.86774	1.97609	2.12125	1.67306	1.61128	1.36281	1.66486	1.48571
TKFC	4.73514	5.81761	3.35181	3.45671	4.52736	3.86675	3.43576	4.06887	3.7263	3.78922	3.61744	4.55282	3.89885	3.93845	3.97564	4.47296	3.37686	4.33515	3.49449	3.94558	3.82795	3.89033	3.42534	3.54674	3.90776	4.26898	3.49792	3.42409	3.58775
MMP24	2.85438	3.41049	3.48265	3.17428	3.53525	3.95742	3.71916	3.74528	3.15991	3.6677	3.71402	3.21967	3.25919	3.675	3.47724	2.96438	3.4867	3.52867	3.38911	3.54282	2.95058	2.88361	2.77333	2.80984	2.79349	2.63198	3.09712	3.04549	3.08859
CAMK2B	3.66262	2.80415	2.86183	3.49143	3.08464	2.86475	3.9753	2.79797	2.65702	3.18438	3.5004	2.7977	2.50521	3.74056	2.87168	2.99788	2.70475	3.07259	2.846	2.57721	3.55949	3.74319	2.71132	2.80804	2.67007	2.80088	3.36851	2.74076	3.11447
LOC729815	3.39631	3.42218	3.50524	3.43035	3.74013	3.9465	3.65179	3.94728	3.28046	3.73588	3.58266	3.6204	3.25919	4.62968	3.20213	3.53972	3.75389	3.11405	3.48453	3.57096	3.19664	2.98189	2.73465	2.7027	3.00466	2.85564	3.05003	2.70404	2.92785
RYBP	7.11673	7.5692	8.57228	8.17248	7.99131	6.92892	7.725	8.4021	9.1305	8.64187	8.10748	8.60324	8.12905	6.00198	7.4784	8.12263	8.14906	7.9704	8.07258	9.16899	7.62231	7.51196	8.22036	8.19224	7.87658	7.87625	7.43607	7.75581	7.70035
MT1M	3.0679	2.87344	5.09062	2.40269	6.36031	3.04717	3.24183	4.00849	2.24354	2.64319	2.78545	2.83633	2.08478	3.22435	3.61915	2.52235	2.87344	2.14744	2.45498	4.24613	2.21972	2.87885	2.52819	2.87344	2.98406	3.03338	2.96339	2.19005	2.49822
ARID5A	6.51183	5.31067	4.57147	4.58803	4.59427	4.67111	5.10941	4.48125	4.36924	5.166	5.81656	4.6758	4.89778	6.31962	5.16384	5.29805	4.6093	4.68076	4.81479	5.4607	4.08087	4.20182	4.64437	4.75817	4.73742	4.51282	5.0992	5.01481	5.16226
CD72	4.64066	3.863	4.04592	4.31596	3.84726	3.71041	3.4496	3.66857	3.95388	3.5881	4.46028	3.5881	3.5881	3.15458	3.37384	3.75416	3.31643	3.62127	4.18854	4.96017	3.41108	3.2278	3.16829	2.92034	3.09461	3.02809	3.30757	3.29343	3.21045
ARHGEF9	4.77084	4.65207	4.5342	4.33888	4.00905	4.66508	3.39402	4.7171	4.43161	3.85101	4.51792	4.23681	3.72921	3.44159	3.73016	4.47296	4.31897	4.17442	4.242	4.10915	4.98443	4.5436	4.58505	4.43346	5.17043	5.07478	4.03491	4.6043	4.01214
GHRL	3.10012	2.98406	3.31176	2.81898	3.53525	4.56418	4.26264	3.07057	2.96588	4.60609	3.31846	2.88024	3.02113	4.07491	3.56682	2.91257	3.52514	3.29358	3.13909	3.55487	3.61834	3.16067	3.05158	3.00725	2.90032	3.08736	2.96434	2.92355	2.5576
MIF4GD	6.07119	6.10369	5.54709	7.05467	6.67008	5.23043	5.43703	5.82978	5.75386	6.12016	5.27815	5.95421	6.16254	4.99452	5.99959	6.30345	6.11838	6.22293	5.72278	6.80476	6.90953	6.88911	6.19261	6.32316	6.3992	6.44044	5.63368	6.08551	5.96928
C8orf74	3.37921	3.40855	3.69677	3.7314	4.50466	3.63574	3.40318	3.20082	2.84423	3.99858	3.45725	3.33034	3.80855	3.47008	3.24993	3.14116	3.27821	3.39562	3.87708	4.00905	4.26334	4.51903	3.63907	4.3132	3.9649	3.8236	4.23748	3.89431	3.91938
ATP6V0A4	2.32028	2.80975	2.53722	2.94308	2.38917	2.89587	1.95979	2.25581	2.24354	2.66107	2.00303	1.95166	2.06417	3.04237	1.946	2.01922	2.7548	1.73204	2.58841	1.86371	2.54413	2.46913	2.22628	2.09721	2.13982	2.20452	2.04439	1.95979	2.71588
SOX10	3.41578	3.10663	4.0672	3.4813	4.03047	4.6355	3.49111	3.86878	3.5395	4.31164	3.70645	3.89072	3.50777	4.77807	3.51541	3.43331	3.70681	3.34282	3.51541	3.85012	3.08366	3.56522	3.28117	3.0824	3.16093	2.95628	3.08916	3.21028	3.38583
FOLR2	4.63369	4.13273	4.87004	4.82359	4.9847	5.08983	5.2744	4.99843	4.75503	5.29878	4.88992	4.9595	4.444	5.8013	5.08258	4.87782	4.71987	4.89026	5.22013	5.20413	4.64197	4.4295	4.24075	3.93736	4.0801	4.29521	4.51023	3.96888	4.33476
DELE1	4.11272	5.1633	6.14661	5.17798	4.86523	4.24406	5.6841	6.05568	5.72395	5.34626	5.36851	5.32365	5.69224	4.08882	5.64477	5.27815	4.26121	5.36221	5.87237	5.61543	4.95294	5.11512	5.42368	5.27815	5.68401	5.82415	4.88366	5.42418	5.13394
TBX1	3.63704	3.4057	3.68198	4.23579	4.55563	3.90026	3.94993	4.36238	4.392	4.05351	4.34265	3.72152	3.68771	4.56496	4.30038	3.72963	3.64894	3.87404	4.21777	3.81758	3.41502	3.75947	3.46204	3.59344	3.75947	3.38726	3.73197	3.71415	3.55489
CCDC134	3.62375	3.52746	3.78788	4.0738	3.86031	3.50144	3.48125	3.74658	3.83753	3.82913	3.93805	3.58644	3.36404	4.82161	3.89827	3.50348	3.18878	3.64601	3.77888	3.90012	4.32966	4.19234	4.19551	3.99773	4.33148	4.49659	4.25661	4.05592	4.98784
TMEM72	3.51817	2.83961	3.4145	3.83505	3.9715	3.66655	3.54516	3.34775	3.56742	4.85967	3.71405	3.4145	3.39587	4.58519	3.81299	3.78129	2.69612	3.56563	3.52594	3.61409	3.28746	3.0703	2.91407	3.23001	3.09818	3.16792	3.02088	2.96605	2.95314
RABEP2	6.13446	5.65677	5.36484	5.9716	5.81898	5.72192	5.6235	5.58831	5.58561	5.98751	5.40322	5.61281	5.40131	7.03236	5.32215	5.48647	5.01524	5.34854	5.1572	5.83592	5.13232	5.25393	5.01056	4.961	4.72227	4.73001	5.08854	5.06213	4.97507
CDC42BPG	2.88976	2.71783	2.64441	2.88976	2.88976	2.51234	3.56649	2.87248	3.05209	3.10279	3.23811	2.82031	2.5732	3.69894	2.90082	3.23547	3.14136	2.52439	3.38177	3.07414	3.16477	3.24702	2.51037	2.46141	2.38903	2.37539	2.81505	2.3469	2.59112
NRDC	9.25214	7.99843	8.37812	7.53403	7.67943	8.03783	7.94528	7.68099	7.0402	6.62045	7.61252	7.08235	7.37725	6.41803	7.30338	7.52855	7.37242	7.3742	7.38043	7.50785	8.0863	7.93434	7.77176	7.81559	7.81913	7.91458	8.02534	7.92601	7.95147
SGCG	2.90426	2.58076	2.41651	6.20186	2.4435	3.01096	5.5535	2.93197	2.96033	3.30598	2.4779	2.61901	2.33854	3.78272	2.46136	2.98742	2.46699	3.03485	2.50833	3.28787	2.30277	2.2576	4.38601	4.73286	2.76212	2.76212	2.49389	2.50783	2.42742
LUNAR1	2.47568	2.97653	2.90463	2.27896	3.0063	2.48882	2.8931	2.40366	2.24354	2.86594	2.25391	2.47919	2.4574	3.26594	2.64356	2.52777	2.84678	2.85067	2.57388	2.50121	2.30277	2.29983	2.13122	2.17722	2.47688	2.21651	1.99067	2.10121	2.287
CSRNP2	5.79909	5.96572	6.11905	5.78196	4.72543	6.10946	6.77931	6.93897	6.34968	5.8777	4.71457	5.68509	5.68805	5.2263	5.81314	6.48272	6.58462	6.06755	5.05003	5.81666	5.94944	6.01548	7.58711	7.57542	6.64285	6.28965	5.63816	6.30772	6.32633
ADORA1	4.47847	3.84808	4.8008	4.68158	3.92165	3.97436	4.43017	3.9063	4.2709	4.09439	3.85158	3.66712	3.77762	4.2025	3.37613	3.86593	3.46142	3.82692	4.52625	3.41936	3.48924	3.60244	3.87915	3.63861	3.34252	3.28661	4.20624	3.78436	4.32831
LINC00939	2.56845	2.6403	2.58626	3.17947	2.61274	3.29994	2.49219	2.49219	2.86948	2.97009	4.08461	3.11489	3.13224	3.32494	2.66531	3.56105	4.08074	4.52922	2.67911	2.38515	2.56462	2.66117	2.48465	2.27627	2.54076	2.60855	2.89576	2.78557	2.46782
C7orf26	6.49244	6.14536	6.34485	5.29185	5.48449	5.83864	6.40609	6.129	6.04233	6.2167	6.04341	5.43683	5.81468	5.63827	5.72146	6.19668	5.80225	6.13933	5.95487	6.25912	6.14074	6.19668	6.8989	6.91986	6.63827	6.62497	6.59649	6.3304	6.76152
CNGB1	4.03218	4.23593	4.34873	4.54677	4.47724	5.24389	4.73312	4.8841	4.48562	4.29084	5.39581	4.45829	4.17232	6.43679	4.52363	4.67608	4.00667	4.36126	4.82921	4.5741	4.03428	4.23593	3.75064	3.56899	3.7547	3.87224	3.81414	4.00667	3.92373
GALK1	3.46136	3.47944	2.86445	3.28771	2.93274	3.6854	3.27721	3.57399	3.46068	2.84302	3.33128	2.97675	2.56755	3.54408	3.03824	2.93948	3.47703	2.86728	3.32732	3.0385	3.7872	3.65807	3.70031	3.8892	3.59352	3.49956	3.1338	3.22187	2.94747
STARD8	4.26562	3.93966	3.81985	4.17869	4.23118	4.34309	4.60099	4.60782	3.9105	3.72839	4.37291	4.03371	3.4134	4.7679	4.81346	4.18886	3.72879	4.42821	4.40081	4.26466	3.93177	4.07618	5.1548	5.14747	4.31654	4.46613	5.00431	4.4163	4.68254
LOC101928837	3.5866	3.02313	3.24296	3.27134	2.90155	2.88185	2.53239	3.62798	2.87756	3.60446	3.32793	2.82031	3.4853	4.86722	3.10705	2.64308	3.23172	3.76868	3.10705	2.80287	3.50825	3.49965	3.58545	3.71911	3.43517	3.6746	3.59032	3.98208	3.43551
WDR20	3.57144	3.48483	3.50825	3.78966	2.42472	3.43835	3.47917	2.38541	2.99286	3.25919	3.54442	3.33784	3.86018	2.47388	2.75853	3.55983	4.02595	4.25636	4.48639	3.86333	2.98455	3.15925	3.35361	3.11124	3.45003	3.52106	3.35361	2.89926	2.94761
ERVW-1	2.03399	2.5103	1.94336	2.47283	2.06507	2.72067	2.08956	2.08956	2.34515	1.97757	2.99848	2.35364	2.12925	4.45133	2.77331	2.72657	2.00922	2.14602	2.64682	2.90009	1.6583	2.05755	1.61747	1.8429	1.54119	2.03443	1.62697	1.68854	1.78879
ZNF74	3.55957	4.6009	3.62086	3.65573	3.85611	3.03576	4.59896	3.82208	3.27141	3.91281	3.20886	3.88883	3.49069	2.67939	4.10858	3.52949	3.6928	3.76868	4.09947	3.59707	4.40835	4.20339	3.91348	3.39038	4.12651	4.09148	5.14534	4.94745	4.97819
APOBEC2	3.50825	3.40502	3.81893	3.93265	4.38124	3.93631	4.55139	3.87147	4.01138	4.07241	3.64376	3.76282	3.53637	4.36516	4.15791	3.49951	3.63094	3.15918	3.79878	3.88069	3.38468	3.52836	2.99866	3.12344	3.26366	3.13552	3.36583	2.97523	3.25919
CFAP43	2.39979	2.7738	2.03364	3.32053	1.90799	1.85221	2.08956	2.20151	1.84548	2.29401	3.45908	2.49754	2.25348	1.579	2.36308	2.86114	2.41811	3.44013	1.70928	1.94078	1.65475	1.65666	1.8951	1.6832	1.69151	1.80504	1.95199	1.8331	2.12589
PFKFB2	3.15642	3.94137	2.47746	2.57359	2.3882	2.99265	2.93398	2.26545	2.43365	2.66107	2.36737	2.68718	2.35621	2.15889	2.06781	2.35222	2.06636	2.62867	2.66107	2.26736	3.26602	3.31641	2.60001	2.4142	2.69574	3.21168	2.93249	2.97444	2.76207
GMEB2	7.7438	6.70989	7.26086	7.17573	8.19122	6.62675	8.11026	7.29101	6.62675	7.5538	6.62675	5.99716	6.3679	6.62675	6.11996	6.47816	6.5336	6.41661	6.73944	6.98303	6.6576	6.49306	5.76576	5.97384	6.58095	6.49215	6.02396	6.55296	6.08238
LINC01587	1.82641	2.28803	2.54005	1.74606	2.24667	2.78359	2.39298	2.41115	2.37312	2.41601	2.40027	2.95984	2.08478	2.59817	3.08182	2.44563	3.31643	2.80005	2.56211	1.9737	2.18421	2.21896	1.91613	1.84178	1.82655	1.70928	1.93185	1.99767	2.287
RGP1	4.84292	5.5748	4.8477	4.99278	6.76498	4.26143	4.77813	6.17211	5.57408	4.48481	5.30966	5.25863	5.00777	4.36516	6.12845	5.16012	5.05827	5.78552	5.72278	5.30966	5.25174	5.34161	5.12159	5.41196	5.32409	5.53869	5.22102	5.49786	6.07954
GCKR	3.7777	3.97326	3.64727	3.67303	3.54459	4.43999	4.3685	3.67765	3.98296	4.43113	4.11264	3.51487	3.744	5.50423	4.02354	3.58762	3.31643	4.15224	3.744	4.19602	3.5099	3.38308	3.31455	3.67238	3.22489	3.45727	3.16493	3.30879	3.39584
SNPH	4.02381	4.13181	4.38388	4.00905	4.52711	4.12199	5.05742	4.57525	3.95747	5.1879	4.11608	3.85739	4.22217	6.18429	4.30437	3.50306	4.33791	3.68664	3.83566	4.18989	4.69237	4.75782	5.52773	4.89973	4.22217	3.89565	3.78922	4.062	4.24382
KIFC3	3.91253	3.18306	3.16576	3.9234	3.40932	3.13677	3.9505	3.1618	3.0436	3.87125	4.03242	2.88365	3.51599	2.91205	2.70124	2.95932	3.25574	2.8839	3.46936	3.64536	3.14304	3.18505	2.77826	3.31877	2.67432	2.90322	3.07287	2.87025	2.89588
ENDOU	3.22831	3.77806	3.67112	3.42233	4.88165	4.68809	3.48125	3.57957	3.28391	3.03912	3.76338	2.95706	3.0314	3.42599	3.64905	3.32974	3.08193	3.18742	3.21217	4.13958	3.16813	2.88741	2.70097	2.83477	3.09427	3.01344	2.88888	2.65141	2.95487
KIAA1024	4.18464	3.58678	5.18833	4.3338	2.89869	3.81936	3.8813	4.14988	3.08366	3.37083	3.11388	3.11171	2.72788	2.46299	3.34004	3.02191	2.87181	3.46465	3.10953	2.98305	2.84775	2.65745	3.00142	3.11865	3.11845	2.5605	2.90451	3.03633	2.48875
INTS4P1	3.11974	2.72076	3.17085	2.32792	2.2125	2.64905	3.05245	3.00265	2.55796	2.88417	2.91754	2.14979	2.76385	3.68135	2.3346	2.48132	2.47525	2.79819	2.49094	3.10822	2.58623	2.2576	2.00214	2.08956	2.0267	2.31852	2.41577	1.95043	2.34836
PYCR3	5.34014	7.41967	4.39244	4.21718	5.2342	5.0849	4.47834	4.41073	4.31349	4.48476	4.00836	4.03173	3.91911	5.20673	4.24405	3.92316	4.68904	3.76868	3.54229	3.62911	3.75383	3.89117	4.04283	3.75323	3.81769	3.93127	4.42357	4.31846	4.68171
ZPBP	2.66664	2.16423	2.75688	2.66664	2.45384	2.80144	3.00537	2.81608	2.44501	3.38759	3.24752	2.46682	3.43325	3.49926	2.14069	3.14785	3.04945	3.10147	2.68299	2.37054	2.70283	2.99363	2.43973	2.34284	2.28641	2.28915	2.8246	2.33491	2.52445
AIF1	4.03892	4.5376	5.2634	4.85376	4.37648	4.53838	4.70255	4.86824	4.91269	4.82363	5.02559	4.68877	4.89332	5.42443	5.05643	4.94202	4.44436	4.75626	5.51726	5.72373	4.206	4.206	3.3496	3.48428	4.19678	3.78862	4.90213	4.46753	5.00501
STK3	7.65526	9.05044	7.09149	8.32341	8.04108	8.33132	7.21654	6.44704	8.39293	7.31052	7.52591	7.85242	8.07151	7.01977	6.96167	7.66514	7.59228	7.65539	7.28226	7.70803	7.18771	6.92958	7.73726	7.75311	7.36409	7.20881	7.00392	7.27182	6.85577
RAB3IL1	4.44717	4.49375	4.72814	5.03657	4.95625	5.73248	4.88941	5.06166	4.93895	5.59336	5.02522	4.8195	4.84598	5.94579	4.51792	4.77436	4.78735	4.88307	4.80375	4.8932	4.37358	4.51453	3.55988	4.19804	3.61594	3.66402	3.9612	3.9612	3.77546
ZNF280B	4.51439	3.66991	4.73495	4.07333	4.9907	5.02195	5.02699	4.57829	4.07702	4.5614	4.23601	4.33999	3.9717	4.46202	5.08544	4.55561	4.77484	4.63309	4.45524	4.78787	3.50315	3.64141	4.0679	3.8385	4.0801	3.98784	4.22238	4.04053	4.19314
GNLY	4.23593	4.03122	4.2968	3.97295	3.66822	3.72224	3.84125	3.20103	3.58307	3.08188	3.47134	4.78332	4.7859	4.17421	3.31368	3.85916	4.10605	3.75101	3.9904	3.09935	4.11321	4.02514	3.46607	3.42661	3.40712	3.24906	3.56336	3.47727	3.55176
LRP1B	3.37382	1.98935	2.03573	1.43743	3.946	1.34469	1.42019	1.66465	2.63443	2.13297	1.79952	2.21829	1.82578	2.27912	1.62782	2.04711	1.56786	2.18866	1.96019	2.74364	1.37409	1.68227	1.62645	1.54309	1.58991	1.82655	1.5057	1.59857	1.48424
TTTY2	2.29303	2.69398	2.6215	2.32792	2.97979	3.04789	2.89739	2.82456	2.63234	3.00083	3.15251	2.89293	2.27909	4.45254	2.57751	2.2744	2.54742	2.69338	3.29565	2.25479	2.64736	2.72567	2.28485	2.36829	2.61443	2.38967	2.22507	2.26873	2.44428
TTTY2B	2.29303	2.69398	2.6215	2.32792	2.97979	3.04789	2.89739	2.82456	2.63234	3.00083	3.15251	2.89293	2.27909	4.45254	2.57751	2.2744	2.54742	2.69338	3.29565	2.25479	2.64736	2.72567	2.28485	2.36829	2.61443	2.38967	2.22507	2.26873	2.44428
GUCY1B2	2.48132	3.15364	4.82512	2.97914	3.28581	5.00857	2.74286	4.00727	3.0876	4.6003	2.85675	2.41725	3.43025	2.65336	3.0501	3.09233	2.62795	3.28529	2.98253	2.58864	2.72389	2.71685	2.50481	2.53107	2.39262	2.49746	2.64998	2.40276	2.60459
