GSM1701025	GSM1701026	GSM1701027	GSM1701028	GSM1701029	GSM1701030	GSM1701031	GSM1701032	GSM1701033	GSM1701034	GSM1701035	GSM1701036	GSM1701037	GSM1701038	GSM1701039	GSM1701040	GSM1701041	GSM1701042	GSM1701043	GSM1701044	GSM1701045	GSM1701046	GSM1701047	GSM1701048	GSM1701049	GSM1701050	GSM1701051	GSM1701052	GSM1701053
CLU	9.49488	11.4445	9.69564	7.0551	9.24725	9.11746	10.8016	9.48951	10.1361	10.4342	10.2508	11.0484	11.3927	9.32841	11.0736	11.4775	11.332	10.0782	11.2812	11.554	5.3197	5.40155	4.73109	4.85207	4.35447	4.48361	5.25751	6.43987	4.48838
HMGA2	6.93559	3.57609	4.66871	7.89801	5.38367	6.49762	7.95309	5.73497	3.90033	5.45458	3.77681	4.193	4.35909	3.82786	4.46789	4.04135	4.34056	3.85914	4.20678	3.94481	10.6367	10.3995	10.4677	10.5294	10.1105	10.0991	9.62757	9.81319	11.6631
ASPH	3.74908	5.31314	3.11729	3.02044	4.38124	5.53301	3.60391	3.97364	6.27203	2.65954	3.41475	6.09108	4.61055	2.9184	3.58237	3.7765	4.91902	4.23788	4.23425	3.55582	9.22291	9.22064	9.78293	9.76812	10.6507	10.5054	9.29519	9.31813	8.61334
PGK1	3.05651	6.96309	3.46095	3.9	2.66664	3.48719	2.53793	2.71188	6.24057	1.95917	2.60125	4.68935	3.72179	2.42864	2.15291	3.01531	3.36896	2.89477	2.22824	2.61731	9.42517	9.38872	8.34673	8.35965	8.57198	8.5374	8.5562	8.27134	8.10854
CXCL8	3.18153	6.21147	8.24877	4.44076	3.59558	8.02154	4.8518	2.74925	5.60941	4.40638	10.6171	3.99463	9.90093	11.3771	7.70888	6.2796	10.5413	6.04899	6.24597	10.6031	10.6215	10.5567	12.3094	12.7552	11.9195	11.8961	8.53141	8.69675	5.01062
SELENOT	4.28837	5.47899	2.85102	3.71206	2.55297	3.74369	2.66529	3.78686	5.2128	2.84082	2.82587	3.79203	3.40883	4.02498	3.19186	3.64463	4.51833	2.67452	2.74792	3.45213	9.4006	9.39485	10.1367	10.0302	8.94594	9.15995	8.86929	8.54545	8.78236
HLA-DPA1	8.5248	9.66584	10.7515	9.30711	8.25154	7.24039	9.22045	9.0097	9.99407	9.94326	12.2197	11.2117	12.0224	8.9501	11.9134	12.4699	11.2677	10.5854	12.0084	12.4564	1.98596	2.21245	5.63399	5.62405	4.27298	3.86192	3.13337	4.73477	2.05268
PBK	3.56213	5.17958	5.25133	8.1502	7.12398	6.56686	4.21286	3.94728	8.13179	3.22127	2.09064	4.23355	2.04814	2.44767	2.30234	1.77947	2.39703	2.0129	2.55049	2.87473	6.99472	6.96685	8.04458	8.02603	8.58969	8.43278	8.60225	8.79719	8.52918
CYP4B1	8.91409	9.35835	6.90611	7.41684	10.6212	7.57402	4.99652	9.37321	8.09473	6.41121	6.01559	8.92175	9.43727	3.30894	9.27608	8.798	7.36231	7.76999	5.3244	5.27229	5.28784	4.7905	2.54021	2.47351	2.47234	2.15197	2.5259	2.22002	2.20617
VWA3B	2.38738	4.84099	2.50901	2.45036	2.17846	2.39021	1.73082	2.45758	3.31052	2.04073	8.29202	7.57196	8.43721	3.02716	8.97798	9.80947	9.14034	9.50652	7.45994	5.14959	1.82854	2.01995	2.10452	1.84389	1.82534	2.05939	1.99499	1.96023	1.98385
IGHG1	13.2458	7.50856	3.73446	9.0932	8.02593	8.02193	11.7551	8.34871	7.09234	8.96629	10.5364	7.95601	7.22043	3.69287	4.00982	6.19868	3.73579	7.36956	5.88497	10.174	2.53554	2.58653	2.12445	2.25458	2.24931	2.14301	2.30965	2.12745	2.63141
IGHG2	13.2458	7.50856	3.73446	9.0932	8.02593	8.02193	11.7551	8.34871	7.09234	8.96629	10.5364	7.95601	7.22043	3.69287	4.00982	6.19868	3.73579	7.36956	5.88497	10.174	2.53554	2.58653	2.12445	2.25458	2.24931	2.14301	2.30965	2.12745	2.63141
IGHM	13.2458	7.50856	3.73446	9.0932	8.02593	8.02193	11.7551	8.34871	7.09234	8.96629	10.5364	7.95601	7.22043	3.69287	4.00982	6.19868	3.73579	7.36956	5.88497	10.174	2.53554	2.58653	2.12445	2.25458	2.24931	2.14301	2.30965	2.12745	2.63141
IGHV4-31	13.2458	7.50856	3.73446	9.0932	8.02593	8.02193	11.7551	8.34871	7.09234	8.96629	10.5364	7.95601	7.22043	3.69287	4.00982	6.19868	3.73579	7.36956	5.88497	10.174	2.53554	2.58653	2.12445	2.25458	2.24931	2.14301	2.30965	2.12745	2.63141
MIR8071-1	13.2458	7.50856	3.73446	9.0932	8.02593	8.02193	11.7551	8.34871	7.09234	8.96629	10.5364	7.95601	7.22043	3.69287	4.00982	6.19868	3.73579	7.36956	5.88497	10.174	2.53554	2.58653	2.12445	2.25458	2.24931	2.14301	2.30965	2.12745	2.63141
MIR8071-2	13.2458	7.50856	3.73446	9.0932	8.02593	8.02193	11.7551	8.34871	7.09234	8.96629	10.5364	7.95601	7.22043	3.69287	4.00982	6.19868	3.73579	7.36956	5.88497	10.174	2.53554	2.58653	2.12445	2.25458	2.24931	2.14301	2.30965	2.12745	2.63141
GRAMD1C	8.87752	7.47984	8.75662	6.49837	7.07489	7.92638	7.52637	8.5836	6.17118	8.11276	9.55983	9.30464	9.60808	4.73687	9.96717	10.2057	10.0042	9.90425	9.60076	8.48357	3.40349	3.864	3.38321	3.47773	3.91621	4.31058	3.1225	3.9271	2.67564
