"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NUF2",-1.6670706392355,1.86012952726096e-16,-5.64301477995644,1.67153291093061e-08,5.82342411801343e-06,9.09248498257117
"NCBP2",-1.66684462731355,-5.72458747072346e-17,-5.64224973222182,1.67897919621621e-08,5.82342411801343e-06,9.08832103534456
"KIF23",-1.65995960510584,-1.45499931547555e-16,-5.6189440118978,1.92190629213109e-08,6.44582066097254e-06,8.96174487970006
"RIPOR2",1.65849946468563,3.09069899303201e-16,5.61400145350936,1.97764677130912e-08,6.44582066097254e-06,8.93496858992865
"PFDN4",-1.65736576137401,6.27753057869107e-17,-5.61016388094764,2.02200495850615e-08,6.44582066097254e-06,8.91419480667862
"JPT1",-1.6571241453512,-9.71445146547012e-17,-5.60934601351258,2.03158272627969e-08,6.44582066097254e-06,8.90976931281886
"NDNF",1.65689707906033,-1.07986536379556e-16,5.60857739675138,2.04062387367552e-08,6.44582066097254e-06,8.90561090324751
"LAMA2",1.6555028074476,4.7271214720368e-17,5.60385780351236,2.09700228070352e-08,6.4674207371287e-06,8.88008921162528
"DPP3",-1.65279444308404,-1.44704849954399e-16,-5.59469002155199,2.21087021388297e-08,6.4674207371287e-06,8.83057487952707
"TNXA",1.65153687707842,2.95083691278138e-16,5.59043317520757,2.26576120534084e-08,6.4674207371287e-06,8.80761161195199
"TNXB",1.65153687707842,2.95083691278138e-16,5.59043317520757,2.26576120534084e-08,6.4674207371287e-06,8.80761161195199
"CCNB1",-1.65146217688732,8.35558474262162e-17,-5.59018031592705,2.26906305600906e-08,6.4674207371287e-06,8.80624812975235
"PCLAF",-1.65138326637623,1.63859088334976e-16,-5.58991320476216,2.27255608137461e-08,6.4674207371287e-06,8.80480786471562
"KIF2C",-1.65069165681216,-2.9193950497793e-16,-5.58757211440873,2.30339480151003e-08,6.4674207371287e-06,8.79218763605161
"CDC20",-1.64481607027453,-1.7773687614279e-16,-5.56768332212097,2.58229510363051e-08,7.13722157626878e-06,8.68518539544503
"PUF60",-1.63784987236894,-2.95770352654046e-16,-5.54410282300108,2.9555646592949e-08,7.87772647291362e-06,8.5588160289808
"ECT2",-1.63738100171303,-4.10768063082341e-16,-5.54251570126855,2.98248673954408e-08,7.87772647291362e-06,8.55032980904469
"CCNE2",-1.63479120340197,1.25948152370399e-16,-5.53374926402081,3.13553128666622e-08,7.87772647291362e-06,8.50350010587143
"SPAG5",-1.63472148149979,1.44849410244063e-16,-5.53351325619051,3.13975506749345e-08,7.87772647291362e-06,8.50224039300741
"PKMYT1",-1.6340102902544,-2.44885130692059e-16,-5.5311058820729,3.18315583908298e-08,7.87772647291362e-06,8.48939388781597
"CORO2B",1.63360187413375,3.89517700501626e-16,5.5297233982411,3.20834210310632e-08,7.87772647291362e-06,8.48201904632353
"TFPI",1.63343431710279,1.18539437525082e-17,5.52915621963456,3.21873086439083e-08,7.87772647291362e-06,8.47899397295566
"SYNE1",1.63340773940193,-3.72423446248771e-16,5.52906625442539,3.22038171332674e-08,7.87772647291362e-06,8.47851416785848
"OGN",1.6329167654593,2.418493646091e-16,5.52740431332364,3.25102624525238e-08,7.87772647291362e-06,8.46965205894599
"CRISP2",1.6276214905353,-2.92734586571086e-17,5.50947986911787,3.60004070130184e-08,8.49082751244474e-06,8.37424134982454
"TPX2",-1.62762141999212,-1.26634813746307e-16,-5.50947963033003,3.60004558444997e-08,8.49082751244474e-06,8.37424008083592
"ANLN",-1.62177727002831,-2.74664550362994e-17,-5.48969725048006,4.02742982393852e-08,9.37384291521691e-06,8.26929945179921
"EFNA4",-1.61973320548705,-2.76471553983804e-16,-5.48277811571394,4.18821927219022e-08,9.62148190984062e-06,8.23268425738739
"NBEA",1.6171520619222,-2.95734212581629e-16,5.47404097468176,4.40016645708798e-08,9.96285754450803e-06,8.18651437403074
"TIMELESS",-1.61596242264186,5.38197958421804e-16,-5.47001405951466,4.50131839708675e-08,9.96285754450803e-06,8.16525963929222
"SPC25",-1.61591047136459,-3.79470760369927e-17,-5.46983820504359,4.50578666719793e-08,9.96285754450803e-06,8.16433180629807
"KIF4A",-1.61145996349879,4.5225686621612e-16,-5.45477328753264,4.90495913621857e-08,1.07115829827865e-05,8.08495790996645
"PCCB",-1.6102519583689,-1.02312545010215e-16,-5.4506842041778,5.0190913863884e-08,1.08271594553444e-05,8.06345115964835
"GINS2",-1.60593569418064,-7.37257477290143e-18,-5.43607369995842,5.44830243928178e-08,1.16114484154766e-05,7.9867382050896
"MCUR1",-1.60505395646463,-3.0538361191675e-16,-5.43308902801567,5.54025769090231e-08,1.16668593207584e-05,7.97109241013823
"FAM153B",1.60025014868642,1.42825566188757e-16,5.41682819439861,6.06827110442066e-08,1.21979144961474e-05,7.88600326289131
"FAM153A",1.60025014868642,1.42825566188757e-16,5.41682819439861,6.06827110442066e-08,1.21979144961474e-05,7.88600326289131
"FAM153C",1.60025014868642,1.42825566188757e-16,5.41682819439861,6.06827110442066e-08,1.21979144961474e-05,7.88600326289131
"LOC100507387",1.60025014868642,1.42825566188757e-16,5.41682819439861,6.06827110442066e-08,1.21979144961474e-05,7.88600326289131
"PTTG3P",-1.59937027010388,3.10804622779178e-17,-5.41384981560111,6.17012879122148e-08,1.22147117778254e-05,7.87044573756727
"HIST3H2A",-1.59898939036538,-1.53884428348109e-16,-5.41256054210355,6.21473265873867e-08,1.22147117778254e-05,7.8637138867987
"CRISP3",1.59700591023455,1.08853898117545e-16,5.4058464848641,6.45210959031825e-08,1.2541908411334e-05,7.82868282533882
"CCNE1",-1.59590013621626,1.41235403002445e-16,-5.40210345263641,6.58823450061715e-08,1.26673130523279e-05,7.80917217116512
"PAK2",-1.58835105220192,1.77809156287623e-17,-5.37654989079837,7.59474933965591e-08,1.44455398999111e-05,7.67633461148004
"KRT7",-1.58432250251891,8.57242517711872e-17,-5.3629132968425,8.19125614756688e-08,1.54143755313096e-05,7.60570392567964
"RTN1",1.58254951118832,-1.74701110059831e-16,5.35691174175072,8.46793407802383e-08,1.57297383244735e-05,7.57467573622077
"GPSM2",-1.58211762613329,-1.54390389361936e-16,-5.35544981584825,8.53668878483499e-08,1.57297383244735e-05,7.5671228051085
"COMMD2",-1.58100007182738,-6.00214322687975e-16,-5.35166690748359,8.71711824375784e-08,1.58966087230755e-05,7.54758826016696
"NELL2",1.57839469997833,2.66352333707272e-16,5.34284775399034,9.15221025207204e-08,1.651973950499e-05,7.5021006707935
"FOXM1",-1.57612296524764,1.85687692074351e-16,-5.33515795827342,9.54868305206194e-08,1.67674333290313e-05,7.46249932984558
